,tweets_Text,tweets_Retweets,tweets_Likes,has_image,has_Link,tweets_ResponseCategory
68,dr deborah birx confided aides friends distressed direction white house coronavirus task force describing situation nightmarish sources say,1500.0,3500.0,1,1,3
69,metropolitan opera announces canceled entire 202021 season due ongoing health crisis,209.0,399.0,1,0,0
70,ahead expected news conference breonna taylor case louisvilles mayor announces curfew beginning 9 pm tonight,350.0,393.0,1,0,2
71,heated exchange dr fauci challenges sen rand pauls assertion new yorks current low positivity rate attributable community immunity believe 22 herd immunity believe youre alone,7200.0,25500.0,0,0,3
72,longawaited findings grand jury probe fatal police shooting breonna taylor announced kentuckys attorney general afternoon,391.0,608.0,1,1,1
73,90 population remains susceptible covid19 cdc director dr robert redfield says,301.0,562.0,1,0,1
74,cdc director dr robert redfield says young people major contributors spread covid19,508.0,959.0,1,0,2
75,supreme court chief justice john roberts describes ginsburg bookkeepers daughter rose supreme court,200.0,905.0,1,0,0
76,dr fauci cdc director dr redfield testify senate us covid19 response,119.0,498.0,1,1,0
77,100 justice ginsburgs former clerks meet casket supreme court steps,6100.0,30000.0,1,0,3
78,speaker pelosi treasury secretary mnuchin reached agreement government funding likely avoiding shutdown end month,207.0,650.0,1,1,1
79,vanessa bryant suing los angeles county sheriffs department sheriff alex villanueva photo leak helicopter crash killed husband nba legend kobe bryant daughter gianna seven others,308.0,1900.0,1,1,2
80,notre dames football game saturday postponed multiple players tested positive covid19,380.0,606.0,1,0,1
81,maines supreme court sided states democratic secretary state rejected republican challenge rankedchoice voting upcoming election,252.0,1000.0,1,1,0
82,seemed unthinkable six months ago true 200000 people us — parents children family friends — died coronavirus,1300.0,2200.0,1,1,3
83,new york adds five states quarantine list follow live updates coronavirus,91.0,239.0,1,0,0
84,gop sen mitt romney says hes board considering supreme court nominee election ensuring trumps pick confirmed,671.0,1200.0,1,1,3
85,police order people shelter place gunman barricaded suburban atlanta home cobb county fires shots,181.0,351.0,1,1,0
86,chinese tycoon criticized president xi jinpings handling pandemic jailed 18 years corruption charges,822.0,1400.0,1,1,3
87,florida gov desantis proposes sweeping legislation threatens felonies increased jail time people attend protests turn violent disorderly,839.0,1900.0,1,1,3
88,federal judge dismisses lawsuit trump campaign challenging nevadas mailin voting law,453.0,1900.0,1,1,1
89,justice department labels three cities anarchy jurisdictions — new york seattle portland oregon overtly political announcement certain trigger legal challenges,463.0,840.0,1,1,3
90,american bryson dechambeau wins first major golf title sixstroke victory us open,65.0,412.0,1,1,0
91,e host giuliana rancic says tested positive covid19,157.0,456.0,1,0,2
92,woman suspected sending poison ricin president trump arrested trying enter us canada gun us law enforcement official said,674.0,1700.0,1,1,3
93,four people killed small plane crashed trying make emergency landing hilltop lakes texas official says,164.0,386.0,1,1,0
94,epa added original pinesol list cleaners kill coronavirus hard surfaces,1900.0,4400.0,1,1,3
95,outer bands tropical storm beta one several storms creating recordbreaking atlantic hurricane season lashing texas coast,100.0,260.0,1,1,0
96,tadej pogacar celebrates 22nd birthday monday becomes youngest tour de france winner since 1904,174.0,907.0,1,1,0
97,lisa murkowski becomes second republican senator say opposes taking supreme court nomination prior election day,696.0,4400.0,1,1,3
98,asked way democrats could slow senate republicans pelosi said everyone get vote,1400.0,2300.0,1,1,3
99,federal judge temporarily blocked president trumps executive order banning wechat downloads us,315.0,953.0,1,1,1
100,bill clinton says superficially hypocritical trump senate republicans push install new supreme court justice election,801.0,4400.0,1,1,3
101,former president bill clinton speaks jake tapper justice ruth bader ginsburgs legacy fight brewing supreme courts future follow live updates,104.0,640.0,1,1,0
102,lee kerslake drummer ozzy osbourne rock band uriah heep died according statements band,259.0,737.0,1,1,0
103,president trump says expects announce supreme court pick next week likely woman,299.0,983.0,1,0,3
104,president trump says approved deal oracle tiktoks parent company unclear avert restrictions tiktok,190.0,390.0,1,1,1
105,20yearold oklahoma state university bull rider died injured rodeo mineral wells texas,1000.0,1400.0,1,1,3
106,sen lindsay graham chairman judiciary committee says support president trump effort move forward fill justice ginsburgs place supreme court,1100.0,2100.0,1,1,3
107,package addressed president trump containing poison ricin intercepted law enforcement two officials say fbi secret service investigating,3500.0,3900.0,1,1,3
108,white house wants announce president trumps nominee fill justice ruth bader ginsburgs vacant seat supreme court first presidential debate adviser close process says,227.0,528.0,1,0,3
109,president trump first tweets following death justice ruth bader ginsburg says republicans obligation fill ginsburgs vacancy supreme court without delay,489.0,1200.0,1,1,3
110,russian opposition politician alexey navalny says still unable pour glass water clear road towards recovering nearfatal poisoning,478.0,3500.0,1,1,1
111,two people killed fourteen others wounded shooting rochester new york police say,231.0,479.0,1,1,2
112,preliminary 45magnitude earthquake jolted southern california area late friday night,378.0,896.0,1,1,1
113,senate majority leader mcconnell says president trumps nominee replace justice ginsburg receive vote floor united states senate,1400.0,1600.0,1,0,3
114,supreme court justice ruth bader ginsburg legal pioneer died court says 87,8900.0,14900.0,1,1,3
115,trump administration argued challenge 2020 census plans saying constitution requires count say must accurate,532.0,552.0,1,1,2
116,us military says sending armored vehicles assets syria protect us troops fighting isis day president trump said syria remaining us forces guarding oil,893.0,1400.0,1,1,2
117,us postal service agrees stop election mailer colorado according state official sued mailers saying include information would mislead voters,168.0,515.0,1,1,0
118,raytheon cut 15000 jobs result downturn commercial air travel double number aerospace giant forecast,165.0,244.0,1,1,1
119,cdc rolls back changes made last month coronavirus guidelines testing people dont symptoms stresses anyone contact infected person tested,440.0,972.0,1,0,1
120,white house says 13 billion additional aid sent puerto rico help rebuild 2017s hurricane maria,2600.0,2400.0,1,1,3
121,state judge michigan rules absentee ballots postmarked election day counted arrive two weeks polls close,303.0,1200.0,1,1,1
122,us extends travel restrictions shared borders canada mexico oct 21 follow live updates coronavirus,204.0,409.0,1,0,1
123,federal judge extended order blocking census bureau winding efforts count us population,221.0,799.0,1,1,0
124,authorities michigan urging people stay indoors dark protect mosquito bites suspected human case rare mosquitoborne disease,2400.0,2000.0,1,1,3
125,us house representatives passed resolution condemning antiasian sentiment amid coronavirus pandemic,222.0,775.0,1,1,1
126,former member vice president pences coronavirus task force says president trump didnt care virus reelection new video,805.0,2100.0,1,1,3
127,eric trump proposed sitting interview new york state attorney generals office investigation trump organization presidential election according new court filing,209.0,473.0,1,1,3
128,fan attended kansas city chiefs opening night game arrowhead stadium september 10 tested positive covid19 prompted health department direct 10 people quarantine,1100.0,1500.0,1,1,3
129,world health organization warning alarming rates transmission covid19 europe portugal england france places reporting spikes,341.0,516.0,1,0,1
130,new york city delays inperson public school openings students week amid ongoing covid19 safety concerns,146.0,455.0,1,1,0
131,acting homeland security secretary chad wolf defies subpoena skips house hearing threats us feud scheduling,1900.0,2300.0,1,1,3
132,additional 860000 people us filed firsttime unemployment benefits last week seasonally adjusted basis another weekonweek decline claims improvements slow,146.0,343.0,1,1,1
133,russian opposition politician alexey navalny fell critically ill drinking poisoned bottle water hotel room siberia team claimed video posted instagram,314.0,944.0,1,1,1
134,550000 customers without power across southeast tropical storm sally,128.0,341.0,0,0,2
135,grand jury indicted omaha bar owner fatal shooting black protester authorities decided bring charges,516.0,1800.0,1,1,1
136,grand jury indicted omaha bar owner fatal shooting black protester authorities decided bring charges,516.0,1800.0,1,1,1
137,jim carrey play democratic nominee joe biden season saturday night live nbc announces,1400.0,8900.0,1,1,3
138,federal reserve committed keeping interest rates near zero americas labor market recovered possibly years,232.0,727.0,1,1,1
139,least 22 people injured two cranes collide austin texas community officials say,230.0,441.0,1,1,1
140,big ten conference says play college football fall reversing early decision postpone season due covid19 pandemic,147.0,411.0,1,0,1
141,sally weakens category 1 hurricane lifethreatening flooding still likely along gulf coast national hurricane center says follow live updates,131.0,352.0,1,0,1
142,pensacola florida already recorded 2 feet rain morning hurricane sally according preliminary national weather service report,353.0,691.0,1,0,0
143,sally makes landfall near gulf shores alabama slowmoving category 2 hurricane batters us coast,144.0,315.0,1,0,0
144,yoshihide suga elected japans new prime minister following vote countrys parliament wednesday confirming former cardboard factory worker farmers son leader worlds third largest economy,453.0,1600.0,1,1,0
145,india become second country surpass 5 million coronavirus cases us,355.0,732.0,1,1,1
146,twitter facebook shut accounts platforms reportedly linked misleading social media campaign run turning point action offshoot popular conservative youth activist organization turning point usa,420.0,1600.0,1,1,2
147,texas supreme court blocked harris county texas sending mailin ballot applications 2 million possible voters litigation continues,426.0,551.0,1,1,2
148,florida national guard activated 175 members ahead hurricane sally department emergency management says,135.0,357.0,1,0,0
149,us ambassador hungary announced step post november 1,96.0,302.0,1,1,0
150,department homeland security inspector general declined investigate whether acting homeland security secretary chad wolf deputy ken cuccinelli serving roles lawfully,294.0,436.0,1,1,2
151,world trade organization says president donald trumps tariffs chinese goods break international trade rules,581.0,1700.0,1,1,3
152,world series played neutral site due health concerns major league baseball announced first neutral site world series since 1940s,112.0,222.0,1,0,0
153,president trump israeli pm netanyahu joined foreign ministers uae bahrain mark historic normalization agreements,156.0,552.0,1,1,2
154,mississippi gov tate reeves says unpredictable slowmoving hurricane sally already causing flooding state people live lowlying areas go inland immediately follow live updates,130.0,274.0,1,0,0
155,rain already falling outer bands hurricane sally naples florida biloxi mississippi storm moving 2 mph — slower humans walk — necessarily good thing,259.0,570.0,1,0,0
156,city louisville settles wrongful death lawsuit brought breonna taylors family officers shooting yet faced charges,622.0,1100.0,1,1,2
157,judge says chad wolf likely unlawfully serving acting secretary homeland security blocks new asylum restrictions,602.0,1900.0,1,1,1
158,hundreds thousands migratory birds found dead across new mexico biologists dont know,2000.0,2700.0,1,1,3
159,despite plans shift employees working home facebook says buying unused headquarters outdoor retailer rei 400000square foot complex bellevue washington,120.0,366.0,1,1,0
160,eight people arrested protests lancaster pennsylvania day police officer shot killed 27yearold man responding call,220.0,470.0,1,1,2
161,mercedesbenzs parent company pay 15 billion resolve allegations vehicles rigged cheat diesel emissions tests,167.0,454.0,1,0,0
162,south dakotas attorney general struck killed man driving saturday body discovered told police hit deer officials say,1000.0,1600.0,1,1,3
163,mississippi alabama coasts hurricane warning sally strengthened hurricane appeared shift east,213.0,439.0,1,0,0
164,world health organization received reports 307930 new covid19 cases worldwide past 24 hours — highest singleday increase global infections since pandemic began follow live updates,1700.0,2200.0,1,0,3
165,terry branstad stepping united states ambassador china three years beijing source confirmed cnn,167.0,333.0,1,1,0
166,two people injured several people rescued elliott bay seattle waterfront pier collapsed officials say,264.0,603.0,1,1,1
167,tiktok oracle become business partners us — deal meant satisfy trump administrations national security concerns source says,390.0,839.0,1,0,2
168,dominic thiem beats alexander zverev final us open win first grand slam singles title,170.0,891.0,1,1,0
169,microsoft says offer buy us operations chineseowned tiktok rejected,282.0,626.0,1,1,1
170,white house released executive order calling medicare pay prescription prices developed nations drug makers opposed,371.0,1100.0,1,1,3
171,president trumps rally tonight henderson nevada first indoors since june tulsa oklahoma expected violate nevadas restriction gatherings 50 people,4000.0,7100.0,1,1,3
172,two deputies shot car saturday night los angeles county surgery sheriffs department spokesperson says,221.0,1100.0,1,1,2
173,federal judge temporarily bars usps sending mailers election officials colorado say contain false statements voting,334.0,1100.0,1,1,1
174,naomi osaka rallies beat victoria azarenka win us open tennis tournament third grand slam title,1600.0,9100.0,1,1,2
175,michigan state university students asked selfquarantine parties contributed 342 new coronavirus cases,642.0,1000.0,1,1,2
176,colorados secretary state filed lawsuit us postal service postmaster general louis dejoy preelection mailer includes information says doesnt align states election policies,1600.0,5400.0,1,1,2
177,nadhim shaker one iraqs famous soccer stars 1970s 80s died covid19 age 63 health officials say,174.0,571.0,1,1,1
178,greek police fired teargas group migrants protesting new camp set island lesbos replace one destroyed fire earlier week according local media,130.0,348.0,1,1,0
179,oxford university coronavirus vaccine trials resume halted due unexplained illness one volunteers university says,713.0,1400.0,1,0,2
180,champion wrestler navid afkari executed iran despite international campaign calling sentence carried according irans staterun news agency,465.0,800.0,1,1,2
181,former top chef contestant aaron grissom died traffic accident authorities say 34,196.0,669.0,1,1,1
182,acting homeland security secretary subpoenaed testify house next week faces whistleblower allegations urged officials alter intelligence,870.0,2400.0,1,1,2
183,us expelled 8800 unaccompanied migrant children without court hearings since coronavirus border restrictions put place march,633.0,760.0,1,0,3
184,new california law give inmate firefighters front lines chance records expunged better chance become professional firefighters released prison,1200.0,8300.0,1,1,2
185,camp pediatric cancer patients northern california gone flames bear fire burned area,152.0,370.0,1,1,0
186,marjorie taylor greene georgia gop house candidate history incendiary conspiracyspreading comments running unopposed democratic opponent dropped democrats could pick new candidate run greene,267.0,506.0,1,1,3
187,justice departments decision drop criminal case former national security adviser michael flynn corrupt politically motivated favor courtappointed lawyer says,606.0,1700.0,1,1,2
188,three us senators demand recalls cnn investigation found amazonbranded products flagged fire hazards,131.0,383.0,1,1,0
189,us appeals court says florida stop exfelons voting owe court fines fees associated convictions,254.0,421.0,0,0,2
190,dr fauci says vaccine likely months life might return covid19 end 2021,961.0,2200.0,1,0,3
191,students depressive symptoms made twice many suicide attempts schools closed pandemic new study primary school students china found,287.0,745.0,0,0,1
192,dr anthony fauci says world needs work universal vaccine coronavirus pandemics citing sars mers covid19 recent examples,354.0,1700.0,1,0,1
193,prices used cars trucks climbed 54 us last month boom pushed consumer price inflation,125.0,292.0,1,1,0
194,remembrance ceremony 19th anniversary 911 attacks underway nyc memorial site follow live,462.0,2400.0,1,0,2
195,plans move migrants lesbos fires destroyed large part islands overcrowded refugee camp greek official says,92.0,275.0,1,1,0
196,four houston police officers fired fatally shooting apparently emotionally disturbed man ground wounded incapacitated final volley 21 shots officials say,1700.0,4000.0,1,1,3
197,wisconsin supreme court told election officials across state cant mail absentee ballots court decides whether add green partys presidential ticket ballot,202.0,275.0,1,1,1
198,federal court rebuking blocking president donald trumps directive exclude undocumented immigrants census count thats used allocate seats congress,396.0,1400.0,1,1,1
199,months protests police officers portland oregon longer use tear gas crowd control,663.0,4100.0,1,1,3
200,ensemble forecast published us centers disease control prevention projects 205000 217000 coronavirus deaths united states oct 3,171.0,201.0,1,0,1
201,31 million acres burned california 12 people died result wildfires ravaging state according california department forestry fire protection,464.0,824.0,1,0,1
202,microsoft report discloses efforts chinese iranian hackers target 2020 elections suggests russias tactics continue evolve,315.0,517.0,1,1,1
203,avengers game thrones actress diana rigg dead played everything classical roles james bonds wife,884.0,2800.0,1,1,2
204,new york department store chain century 21 files bankruptcy says shut company says lack payment business interruption insurance forced decision,658.0,571.0,1,1,2
205,jane fraser become first woman lead major us bank citigroup announcing shell next ceo,250.0,1200.0,1,1,0
206,new york city restaurants allowed resume indoor dining september 30 limited operating 25 capacity governor says,176.0,792.0,1,1,2
207,new tapes president trump admits bob woodward concealed critical details knew coronavirus wanted always play,4100.0,5800.0,1,1,3
208,portugal reports highest daily number new covid19 cases since april follow live updates coronavirus pandemic,142.0,336.0,1,0,0
209,lvmh says cant complete planned acquisition tiffany would biggest luxury goods deal history,144.0,300.0,1,1,0
210,europes largest migrant camp moria completely destroyed massive fires broke early wednesday overcrowded site greeces lesbos island according eyewitness,281.0,456.0,0,0,0
211,academy motion pictures arts sciences require films entering oscar race best picture meet new representation standards 2024,266.0,895.0,1,1,3
212,doj wants take president trumps defense defamation lawsuit filed e jean carroll accused sexual assault,649.0,878.0,1,1,3
213,british prime minister boris johnson announce new measures wednesday reduce number people legally allowed socially gather 30 six england control coronavirus spread,319.0,641.0,1,0,1
214,keeping kardashians coming end 14 years kim kardashian announced instagram,1600.0,5400.0,1,1,3
215,white house host signing ceremony united arab emirates israel document new normalization deal first middle east white house peace signing 26 years senior administration official says,226.0,650.0,1,1,2
216,police chief rochester ny retiring protests death daniel prude police custody,148.0,515.0,1,1,1
217,apple countersued epic games accusing maker popular online video game fortnite stealing 30 commissions iphone maker takes app developers,131.0,333.0,1,1,0
218,jpmorgan chase investigating potential misuse pandemic relief programs workers customers saying conduct may even illegal,807.0,936.0,1,1,1
219,french soccer star kylian mbappe tested positive covid19 french football federation says hes seventh paris saintgermain player test positive recent weeks,255.0,672.0,1,1,0
220,federal judge recommends dropping charges three men charged connection sinking duck boat killed 17 people near branson missouri,109.0,217.0,1,1,0
221,eight defendants journalist jamal khashoggis murder sentenced saudi arabia un official calls outcome parody justice,284.0,698.0,1,1,1
222,florida reports fewest number new coronavirus cases nearly three months,257.0,1500.0,1,0,2
223,us service member injured attack alshabaab somalia us military says least one alshabaab fighter killed,131.0,265.0,1,1,0
224,tropical storm paulette forms atlantic breaking records earliest time season 16th named storm,462.0,956.0,1,1,0
225,poisoned russian opposition leader alexey navalny coma early longterm prognosis german doctors say,329.0,1400.0,1,1,0
226,number us air travelers climbed going labor day weekend pandemicera high nearly million people screened tsa friday follow live updates coronavirus,164.0,489.0,1,0,0
227,california gov gavin newsom declared state emergency five counties multiple wildfires continue burn across state following weekend brought record high heat record acres scorched,1000.0,2800.0,1,1,3
228,hall fame baseball player lou brock one best hitters base stealers mlb history died sunday age 81,282.0,1300.0,1,1,1
229,world 1 novak djokovic defaulted us open striking lineswoman ball,619.0,1800.0,1,1,3
230,jeffrey goldberg editorinchief atlantic said magazines story trump calling americans died battle losers suckers tip iceberg,9000.0,24300.0,1,1,3
231,president referred fallen us service members crude derogatory terms 2018 trip former senior administration official confirms,1000.0,2600.0,1,1,3
232,several boats taking part trump support parade lake travis texas sunk officials say,3300.0,13000.0,1,1,3
233,least 147 covid19 cases including 3 deaths linked august wedding reception maine state cdc spokesman says,728.0,1300.0,1,1,2
234,democratic vice presidential nominee kamala harris says would trust president trumps word alone potential coronavirus vaccine,874.0,5100.0,1,1,3
235,federal judge blocks us government detaining migrant children hotels immigration civil rights groups said amounted shadow immigration system skirted law,396.0,1100.0,1,1,1
236,george washington university says jessica krug professor said lying black years longer teach classes semester,248.0,696.0,1,1,2
237,president trump says award medal freedom lou holtz former football coach endorsed trump 2016,298.0,909.0,1,1,3
238,mississippi drops charges curtis flowers tried six times murder case spent 23 years prison accused killing four people 1996,379.0,1300.0,1,1,1
239,attorney general william barr applauded killing man suspected murder portland oregon barr said michael forest reinoehl produced firearm officers tried arrest shot killed,162.0,437.0,1,0,3
240,defense department ordered stars stripes newspaper shut end month congress debates funding,274.0,461.0,1,1,2
241,new york police department investigating incident car plowed group black lives matter protesters blocking street thursday nypd said vehicle black ford taurus sedan similar model used department,433.0,934.0,1,1,2
242,joe biden talks economy trumps coronavirus response follow live updates,81.0,508.0,0,0,2
243,lionel messi says stay barcelona week telling club wanted leave,307.0,1000.0,1,1,1
244,seven police officers involved arrest daniel prude black man died officers pinned ground suspended,723.0,1800.0,1,0,3
245,virginia judge ordered state election officials keep kanye wests name states general election ballot november,888.0,5100.0,1,1,3
246,russia trying sow doubt election integrity amplifying false claims mailin voting claims trump repeated intel bulletin warns,493.0,830.0,1,1,2
247,nasdaq composite tumbled nearly 5 dow fell 800 points worst day stocks since june,211.0,415.0,1,1,1
248,200 arrests made kenosha since shooting jacob blake,112.0,341.0,1,0,1
249,nearly 45 million people excessive heat watches warnings number expected rise,251.0,478.0,1,1,1
250,democratic presidential nominee joe biden meeting blake family privately milwaukee airport,293.0,2000.0,1,0,2
251,nasdaq tumbles nearly 5 dow falls 700 points day stocks hit record high,205.0,457.0,1,1,1
252,fauci says would hesitate take safe effective approved vaccine,164.0,682.0,1,0,1
253,dr anthony fauci said conceivable likely coronavirus vaccine ready october,428.0,1400.0,1,0,2
254,another 881000 americans filed initial claims unemployment benefits last week seasonally adjusted basis,247.0,585.0,1,1,1
255,facebook says limit advertising week us presidential election continue let politicians run ads lies,521.0,915.0,1,1,3
256,mackenzie scott — philanthropist author exwife amazon ceo jeff bezos — worth 68 billion making richest woman world,1000.0,4900.0,0,0,3
257,tom seaver helped lead miracle mets first world series title 1969 died age 75,171.0,583.0,1,1,0
258,us stocks open higher investors remain hopeful new stimulus deal reached,83.0,263.0,1,0,1
259,tropical storm nana moving quickly toward central america enough time strengthen hurricane making landfall,172.0,302.0,1,1,0
260,russian opposition leader alexey navalny poisoned type nerve agent used 2018 attack exspy uk germany says,690.0,1200.0,1,1,1
261,department homeland security july withheld intelligence bulletin warning russian plot spread misinformation regarding joe bidens mental health according report abc news,1800.0,3100.0,1,1,3
262,covid19 cases us children increased 17 two weeks updated report says,947.0,1100.0,1,0,3
263,khmer rouge commander oversaw deaths thousands people cambodian genocide serving life sentence crimes humanity died age 77,311.0,1000.0,1,1,2
264,massachusetts sen ed markey fended challenge decadeslong political career beating rep joe kennedy senate democratic primary,259.0,1100.0,1,1,1
265,massachusetts rep richard neal one congress powerful democrats beaten progressive challenger alex morse house primary,136.0,631.0,1,1,0
266,two coaches previously charged college admissions scam charged counts third indictment filed district massachusetts,120.0,433.0,1,1,0
267,university california system longer use act sat tests determinant admissions superior court judge ruled handing victory students disabilities,972.0,3200.0,1,1,2
268,extraordinary move centers disease control prevention moving temporarily halt evictions americans struggling pay rent due pandemic,552.0,1400.0,1,0,2
269,us army announced new investigation leadership decisions fort hood related death specialist vanessa guillen,328.0,1200.0,1,1,0
