,tweets_Text,has_image,has_Link,tweets_ResponseCategory
41,ron paul former congressman presidential candidate says hes fine hospitalized apparent medical episode,1,1,1
42,president trump intends choose amy coney barrett new supreme court justice multiple senior gop sources knowledge process say,1,1,2
43,us surpassed 7 million confirmed cases covid19 nearly half states reporting rising numbers new cases,1,0,2
44,florida gov desantis clears bars restaurants return 100 capacity still gives municipalities discretion impose restrictions,1,0,2
45,federal judge signals wants see evidence whether political influence played role justice departments decision release texts former fbi employees lisa page peter strzok,1,1,1
46,outdoor dining permanent yearround new york city mayor bill de blasio announces follow live updates coronavirus,1,0,2
47,breonna taylors family attorney says grand jury transcripts made public baffled evidence seen,1,1,2
48,virginias democratic gov ralph northam wife tested positive covid19 according statement office,1,1,2
49,justice ruth bader ginsburg honored us capitol first woman lie state follow live updates,0,0,0
50,seattle police officer captured video rolling bicycle head protester laying street administrative leave,1,1,2
51,republican ohio gov mike dewine says issue proclamation activating around 300 state national guard members ahead tuesdays first presidential debate cleveland,1,0,1
52,department homeland security proposing changes visas students exchange visitors foreign media potentially limit length time remain us,1,1,1
53,sacramento county sheriffs department fired deputy seen viral video punching 14yearold boy,1,1,1
54,ensemble forecast published cdc projects 214000 226000 covid19 deaths us oct 17,1,0,1
55,nearly 130 people arrested wednesday louisville protests breonna taylor case citys interim police chief says,1,1,1
56,louisville working release information related breonna taylor investigation citys mayor says,1,0,1
57,dr fauci says covid19 theres good enough data say aerosol transmission occur,1,0,2
58,louisville police shooting suspect larynzo johnson charged assault wanton endangerment officer follow live updates,1,0,2
59,fda chief dr stephen hahn still wont comment trumps threat override vaccine rules,1,0,1
60,mary trump president trumps niece filed lawsuit accusing siblings committing fraud order deprive interests family realestate empire built fred trump sr,1,1,2
61,president trump melania trump paid respects supreme court justice ruth bader ginsburg crowd protested presence,1,0,2
62,lonita baker attorney breonna taylors mother said grand jurys result make legal sense kentuckys attorney general failed,1,0,2
63,another 870000 workers filed firsttime claims unemployment benefits seasonally adjusted basis last week,1,1,1
64,cdc says thousands passengers board commercial flights may exposed coronavirus since start 2020,1,0,2
65,teresa parson wife missouri gov mike parson tested positive covid19,1,0,1
66,ben crump attorney family breonna taylor said grand jurys decision fully wanted brings us closer justice,1,0,2
67,exofficer brett hankison charged wanton endangerment fatal shooting breonna taylor two police officers indicted follow live updates,1,0,2
68,dr deborah birx confided aides friends distressed direction white house coronavirus task force describing situation nightmarish sources say,1,1,2
69,metropolitan opera announces canceled entire 202021 season due ongoing health crisis,1,0,0
70,ahead expected news conference breonna taylor case louisvilles mayor announces curfew beginning 9 pm tonight,1,0,1
71,heated exchange dr fauci challenges sen rand pauls assertion new yorks current low positivity rate attributable community immunity believe 22 herd immunity believe youre alone,0,0,2
72,longawaited findings grand jury probe fatal police shooting breonna taylor announced kentuckys attorney general afternoon,1,1,1
73,90 population remains susceptible covid19 cdc director dr robert redfield says,1,0,1
74,cdc director dr robert redfield says young people major contributors spread covid19,1,0,2
75,supreme court chief justice john roberts describes ginsburg bookkeepers daughter rose supreme court,1,0,0
76,dr fauci cdc director dr redfield testify senate us covid19 response,1,1,0
77,100 justice ginsburgs former clerks meet casket supreme court steps,1,0,2
78,speaker pelosi treasury secretary mnuchin reached agreement government funding likely avoiding shutdown end month,1,1,1
79,vanessa bryant suing los angeles county sheriffs department sheriff alex villanueva photo leak helicopter crash killed husband nba legend kobe bryant daughter gianna seven others,1,1,1
80,notre dames football game saturday postponed multiple players tested positive covid19,1,0,1
81,maines supreme court sided states democratic secretary state rejected republican challenge rankedchoice voting upcoming election,1,1,0
82,seemed unthinkable six months ago true 200000 people us — parents children family friends — died coronavirus,1,1,2
83,new york adds five states quarantine list follow live updates coronavirus,1,0,0
84,gop sen mitt romney says hes board considering supreme court nominee election ensuring trumps pick confirmed,1,1,2
85,police order people shelter place gunman barricaded suburban atlanta home cobb county fires shots,1,1,1
86,chinese tycoon criticized president xi jinpings handling pandemic jailed 18 years corruption charges,1,1,2
87,florida gov desantis proposes sweeping legislation threatens felonies increased jail time people attend protests turn violent disorderly,1,1,2
88,federal judge dismisses lawsuit trump campaign challenging nevadas mailin voting law,1,1,1
89,justice department labels three cities anarchy jurisdictions — new york seattle portland oregon overtly political announcement certain trigger legal challenges,1,1,2
90,american bryson dechambeau wins first major golf title sixstroke victory us open,1,1,0
91,e host giuliana rancic says tested positive covid19,1,0,2
92,woman suspected sending poison ricin president trump arrested trying enter us canada gun us law enforcement official said,1,1,2
93,four people killed small plane crashed trying make emergency landing hilltop lakes texas official says,1,1,0
94,epa added original pinesol list cleaners kill coronavirus hard surfaces,1,1,2
95,outer bands tropical storm beta one several storms creating recordbreaking atlantic hurricane season lashing texas coast,1,1,0
96,tadej pogacar celebrates 22nd birthday monday becomes youngest tour de france winner since 1904,1,1,0
97,lisa murkowski becomes second republican senator say opposes taking supreme court nomination prior election day,1,1,2
98,asked way democrats could slow senate republicans pelosi said everyone get vote,1,1,2
99,federal judge temporarily blocked president trumps executive order banning wechat downloads us,1,1,1
100,bill clinton says superficially hypocritical trump senate republicans push install new supreme court justice election,1,1,2
101,former president bill clinton speaks jake tapper justice ruth bader ginsburgs legacy fight brewing supreme courts future follow live updates,1,1,1
102,lee kerslake drummer ozzy osbourne rock band uriah heep died according statements band,1,1,0
103,president trump says expects announce supreme court pick next week likely woman,1,0,2
104,president trump says approved deal oracle tiktoks parent company unclear avert restrictions tiktok,1,1,1
105,20yearold oklahoma state university bull rider died injured rodeo mineral wells texas,1,1,2
106,sen lindsay graham chairman judiciary committee says support president trump effort move forward fill justice ginsburgs place supreme court,1,1,2
107,package addressed president trump containing poison ricin intercepted law enforcement two officials say fbi secret service investigating,1,1,2
108,white house wants announce president trumps nominee fill justice ruth bader ginsburgs vacant seat supreme court first presidential debate adviser close process says,1,0,2
109,president trump first tweets following death justice ruth bader ginsburg says republicans obligation fill ginsburgs vacancy supreme court without delay,1,1,2
110,russian opposition politician alexey navalny says still unable pour glass water clear road towards recovering nearfatal poisoning,1,1,1
111,two people killed fourteen others wounded shooting rochester new york police say,1,1,2
112,preliminary 45magnitude earthquake jolted southern california area late friday night,1,1,1
113,senate majority leader mcconnell says president trumps nominee replace justice ginsburg receive vote floor united states senate,1,0,2
114,supreme court justice ruth bader ginsburg legal pioneer died court says 87,1,1,2
115,trump administration argued challenge 2020 census plans saying constitution requires count say must accurate,1,1,2
116,us military says sending armored vehicles assets syria protect us troops fighting isis day president trump said syria remaining us forces guarding oil,1,1,2
117,us postal service agrees stop election mailer colorado according state official sued mailers saying include information would mislead voters,1,1,0
118,raytheon cut 15000 jobs result downturn commercial air travel double number aerospace giant forecast,1,1,1
119,cdc rolls back changes made last month coronavirus guidelines testing people dont symptoms stresses anyone contact infected person tested,1,0,1
120,white house says 13 billion additional aid sent puerto rico help rebuild 2017s hurricane maria,1,1,2
121,state judge michigan rules absentee ballots postmarked election day counted arrive two weeks polls close,1,1,1
122,us extends travel restrictions shared borders canada mexico oct 21 follow live updates coronavirus,1,0,1
123,federal judge extended order blocking census bureau winding efforts count us population,1,1,0
124,authorities michigan urging people stay indoors dark protect mosquito bites suspected human case rare mosquitoborne disease,1,1,2
125,us house representatives passed resolution condemning antiasian sentiment amid coronavirus pandemic,1,1,1
126,former member vice president pences coronavirus task force says president trump didnt care virus reelection new video,1,1,2
127,eric trump proposed sitting interview new york state attorney generals office investigation trump organization presidential election according new court filing,1,1,2
128,fan attended kansas city chiefs opening night game arrowhead stadium september 10 tested positive covid19 prompted health department direct 10 people quarantine,1,1,2
129,world health organization warning alarming rates transmission covid19 europe portugal england france places reporting spikes,1,0,1
130,new york city delays inperson public school openings students week amid ongoing covid19 safety concerns,1,1,0
131,acting homeland security secretary chad wolf defies subpoena skips house hearing threats us feud scheduling,1,1,2
132,additional 860000 people us filed firsttime unemployment benefits last week seasonally adjusted basis another weekonweek decline claims improvements slow,1,1,1
133,russian opposition politician alexey navalny fell critically ill drinking poisoned bottle water hotel room siberia team claimed video posted instagram,1,1,1
134,550000 customers without power across southeast tropical storm sally,0,0,2
135,grand jury indicted omaha bar owner fatal shooting black protester authorities decided bring charges,1,1,1
136,grand jury indicted omaha bar owner fatal shooting black protester authorities decided bring charges,1,1,1
137,jim carrey play democratic nominee joe biden season saturday night live nbc announces,1,1,2
138,federal reserve committed keeping interest rates near zero americas labor market recovered possibly years,1,1,1
139,least 22 people injured two cranes collide austin texas community officials say,1,1,1
140,big ten conference says play college football fall reversing early decision postpone season due covid19 pandemic,1,0,1
141,sally weakens category 1 hurricane lifethreatening flooding still likely along gulf coast national hurricane center says follow live updates,1,0,1
142,pensacola florida already recorded 2 feet rain morning hurricane sally according preliminary national weather service report,1,0,0
143,sally makes landfall near gulf shores alabama slowmoving category 2 hurricane batters us coast,1,0,0
144,yoshihide suga elected japans new prime minister following vote countrys parliament wednesday confirming former cardboard factory worker farmers son leader worlds third largest economy,1,1,0
145,india become second country surpass 5 million coronavirus cases us,1,1,1
146,twitter facebook shut accounts platforms reportedly linked misleading social media campaign run turning point action offshoot popular conservative youth activist organization turning point usa,1,1,2
147,texas supreme court blocked harris county texas sending mailin ballot applications 2 million possible voters litigation continues,1,1,2
148,florida national guard activated 175 members ahead hurricane sally department emergency management says,1,0,0
149,us ambassador hungary announced step post november 1,1,1,0
150,department homeland security inspector general declined investigate whether acting homeland security secretary chad wolf deputy ken cuccinelli serving roles lawfully,1,1,2
151,world trade organization says president donald trumps tariffs chinese goods break international trade rules,1,1,2
152,world series played neutral site due health concerns major league baseball announced first neutral site world series since 1940s,1,0,0
153,president trump israeli pm netanyahu joined foreign ministers uae bahrain mark historic normalization agreements,1,1,2
154,mississippi gov tate reeves says unpredictable slowmoving hurricane sally already causing flooding state people live lowlying areas go inland immediately follow live updates,1,0,0
155,rain already falling outer bands hurricane sally naples florida biloxi mississippi storm moving 2 mph — slower humans walk — necessarily good thing,1,0,0
156,city louisville settles wrongful death lawsuit brought breonna taylors family officers shooting yet faced charges,1,1,1
157,judge says chad wolf likely unlawfully serving acting secretary homeland security blocks new asylum restrictions,1,1,1
158,hundreds thousands migratory birds found dead across new mexico biologists dont know,1,1,2
159,despite plans shift employees working home facebook says buying unused headquarters outdoor retailer rei 400000square foot complex bellevue washington,1,1,0
160,eight people arrested protests lancaster pennsylvania day police officer shot killed 27yearold man responding call,1,1,2
161,mercedesbenzs parent company pay 15 billion resolve allegations vehicles rigged cheat diesel emissions tests,1,0,0
162,south dakotas attorney general struck killed man driving saturday body discovered told police hit deer officials say,1,1,2
163,mississippi alabama coasts hurricane warning sally strengthened hurricane appeared shift east,1,0,0
164,world health organization received reports 307930 new covid19 cases worldwide past 24 hours — highest singleday increase global infections since pandemic began follow live updates,1,0,2
165,terry branstad stepping united states ambassador china three years beijing source confirmed cnn,1,1,0
166,two people injured several people rescued elliott bay seattle waterfront pier collapsed officials say,1,1,1
167,tiktok oracle become business partners us — deal meant satisfy trump administrations national security concerns source says,1,0,1
168,dominic thiem beats alexander zverev final us open win first grand slam singles title,1,1,0
169,microsoft says offer buy us operations chineseowned tiktok rejected,1,1,1
170,white house released executive order calling medicare pay prescription prices developed nations drug makers opposed,1,1,2
171,president trumps rally tonight henderson nevada first indoors since june tulsa oklahoma expected violate nevadas restriction gatherings 50 people,1,1,2
172,two deputies shot car saturday night los angeles county surgery sheriffs department spokesperson says,1,1,2
173,federal judge temporarily bars usps sending mailers election officials colorado say contain false statements voting,1,1,1
174,naomi osaka rallies beat victoria azarenka win us open tennis tournament third grand slam title,1,1,2
175,michigan state university students asked selfquarantine parties contributed 342 new coronavirus cases,1,1,2
176,colorados secretary state filed lawsuit us postal service postmaster general louis dejoy preelection mailer includes information says doesnt align states election policies,1,1,2
177,nadhim shaker one iraqs famous soccer stars 1970s 80s died covid19 age 63 health officials say,1,1,1
178,greek police fired teargas group migrants protesting new camp set island lesbos replace one destroyed fire earlier week according local media,1,1,0
179,oxford university coronavirus vaccine trials resume halted due unexplained illness one volunteers university says,1,0,1
180,champion wrestler navid afkari executed iran despite international campaign calling sentence carried according irans staterun news agency,1,1,2
181,former top chef contestant aaron grissom died traffic accident authorities say 34,1,1,1
182,acting homeland security secretary subpoenaed testify house next week faces whistleblower allegations urged officials alter intelligence,1,1,2
183,us expelled 8800 unaccompanied migrant children without court hearings since coronavirus border restrictions put place march,1,0,2
184,new california law give inmate firefighters front lines chance records expunged better chance become professional firefighters released prison,1,1,2
185,camp pediatric cancer patients northern california gone flames bear fire burned area,1,1,1
186,marjorie taylor greene georgia gop house candidate history incendiary conspiracyspreading comments running unopposed democratic opponent dropped democrats could pick new candidate run greene,1,1,2
187,justice departments decision drop criminal case former national security adviser michael flynn corrupt politically motivated favor courtappointed lawyer says,1,1,1
188,three us senators demand recalls cnn investigation found amazonbranded products flagged fire hazards,1,1,0
189,us appeals court says florida stop exfelons voting owe court fines fees associated convictions,0,0,2
190,dr fauci says vaccine likely months life might return covid19 end 2021,1,0,2
191,students depressive symptoms made twice many suicide attempts schools closed pandemic new study primary school students china found,0,0,1
192,dr anthony fauci says world needs work universal vaccine coronavirus pandemics citing sars mers covid19 recent examples,1,0,1
193,prices used cars trucks climbed 54 us last month boom pushed consumer price inflation,1,1,0
194,remembrance ceremony 19th anniversary 911 attacks underway nyc memorial site follow live,1,0,1
195,plans move migrants lesbos fires destroyed large part islands overcrowded refugee camp greek official says,1,1,0
196,four houston police officers fired fatally shooting apparently emotionally disturbed man ground wounded incapacitated final volley 21 shots officials say,1,1,2
197,wisconsin supreme court told election officials across state cant mail absentee ballots court decides whether add green partys presidential ticket ballot,1,1,1
198,federal court rebuking blocking president donald trumps directive exclude undocumented immigrants census count thats used allocate seats congress,1,1,1
199,months protests police officers portland oregon longer use tear gas crowd control,1,1,2
200,ensemble forecast published us centers disease control prevention projects 205000 217000 coronavirus deaths united states oct 3,1,0,1
201,31 million acres burned california 12 people died result wildfires ravaging state according california department forestry fire protection,1,0,1
202,microsoft report discloses efforts chinese iranian hackers target 2020 elections suggests russias tactics continue evolve,1,1,1
203,avengers game thrones actress diana rigg dead played everything classical roles james bonds wife,1,1,2
204,new york department store chain century 21 files bankruptcy says shut company says lack payment business interruption insurance forced decision,1,1,1
205,jane fraser become first woman lead major us bank citigroup announcing shell next ceo,1,1,0
206,new york city restaurants allowed resume indoor dining september 30 limited operating 25 capacity governor says,1,1,2
207,new tapes president trump admits bob woodward concealed critical details knew coronavirus wanted always play,1,1,2
208,portugal reports highest daily number new covid19 cases since april follow live updates coronavirus pandemic,1,0,0
209,lvmh says cant complete planned acquisition tiffany would biggest luxury goods deal history,1,1,0
210,europes largest migrant camp moria completely destroyed massive fires broke early wednesday overcrowded site greeces lesbos island according eyewitness,0,0,0
211,academy motion pictures arts sciences require films entering oscar race best picture meet new representation standards 2024,1,1,2
212,doj wants take president trumps defense defamation lawsuit filed e jean carroll accused sexual assault,1,1,2
213,british prime minister boris johnson announce new measures wednesday reduce number people legally allowed socially gather 30 six england control coronavirus spread,1,0,1
214,keeping kardashians coming end 14 years kim kardashian announced instagram,1,1,2
215,white house host signing ceremony united arab emirates israel document new normalization deal first middle east white house peace signing 26 years senior administration official says,1,1,2
216,police chief rochester ny retiring protests death daniel prude police custody,1,1,1
217,apple countersued epic games accusing maker popular online video game fortnite stealing 30 commissions iphone maker takes app developers,1,1,0
218,jpmorgan chase investigating potential misuse pandemic relief programs workers customers saying conduct may even illegal,1,1,1
219,french soccer star kylian mbappe tested positive covid19 french football federation says hes seventh paris saintgermain player test positive recent weeks,1,1,1
220,federal judge recommends dropping charges three men charged connection sinking duck boat killed 17 people near branson missouri,1,1,0
221,eight defendants journalist jamal khashoggis murder sentenced saudi arabia un official calls outcome parody justice,1,1,1
222,florida reports fewest number new coronavirus cases nearly three months,1,0,2
223,us service member injured attack alshabaab somalia us military says least one alshabaab fighter killed,1,1,0
224,tropical storm paulette forms atlantic breaking records earliest time season 16th named storm,1,1,0
225,poisoned russian opposition leader alexey navalny coma early longterm prognosis german doctors say,1,1,0
226,number us air travelers climbed going labor day weekend pandemicera high nearly million people screened tsa friday follow live updates coronavirus,1,0,0
227,california gov gavin newsom declared state emergency five counties multiple wildfires continue burn across state following weekend brought record high heat record acres scorched,1,1,2
228,hall fame baseball player lou brock one best hitters base stealers mlb history died sunday age 81,1,1,1
229,world 1 novak djokovic defaulted us open striking lineswoman ball,1,1,2
230,jeffrey goldberg editorinchief atlantic said magazines story trump calling americans died battle losers suckers tip iceberg,1,1,2
231,president referred fallen us service members crude derogatory terms 2018 trip former senior administration official confirms,1,1,2
232,several boats taking part trump support parade lake travis texas sunk officials say,1,1,2
233,least 147 covid19 cases including 3 deaths linked august wedding reception maine state cdc spokesman says,1,1,2
234,democratic vice presidential nominee kamala harris says would trust president trumps word alone potential coronavirus vaccine,1,1,2
235,federal judge blocks us government detaining migrant children hotels immigration civil rights groups said amounted shadow immigration system skirted law,1,1,1
236,george washington university says jessica krug professor said lying black years longer teach classes semester,1,1,2
237,president trump says award medal freedom lou holtz former football coach endorsed trump 2016,1,1,2
238,mississippi drops charges curtis flowers tried six times murder case spent 23 years prison accused killing four people 1996,1,1,1
239,attorney general william barr applauded killing man suspected murder portland oregon barr said michael forest reinoehl produced firearm officers tried arrest shot killed,1,0,2
240,defense department ordered stars stripes newspaper shut end month congress debates funding,1,1,2
241,new york police department investigating incident car plowed group black lives matter protesters blocking street thursday nypd said vehicle black ford taurus sedan similar model used department,1,1,2
242,joe biden talks economy trumps coronavirus response follow live updates,0,0,1
243,lionel messi says stay barcelona week telling club wanted leave,1,1,1
244,seven police officers involved arrest daniel prude black man died officers pinned ground suspended,1,0,2
245,virginia judge ordered state election officials keep kanye wests name states general election ballot november,1,1,2
246,russia trying sow doubt election integrity amplifying false claims mailin voting claims trump repeated intel bulletin warns,1,1,2
247,nasdaq composite tumbled nearly 5 dow fell 800 points worst day stocks since june,1,1,1
248,200 arrests made kenosha since shooting jacob blake,1,0,1
249,nearly 45 million people excessive heat watches warnings number expected rise,1,1,1
250,democratic presidential nominee joe biden meeting blake family privately milwaukee airport,1,0,2
251,nasdaq tumbles nearly 5 dow falls 700 points day stocks hit record high,1,1,1
252,fauci says would hesitate take safe effective approved vaccine,1,0,1
253,dr anthony fauci said conceivable likely coronavirus vaccine ready october,1,0,2
254,another 881000 americans filed initial claims unemployment benefits last week seasonally adjusted basis,1,1,1
255,facebook says limit advertising week us presidential election continue let politicians run ads lies,1,1,2
256,mackenzie scott — philanthropist author exwife amazon ceo jeff bezos — worth 68 billion making richest woman world,0,0,2
257,tom seaver helped lead miracle mets first world series title 1969 died age 75,1,1,0
258,us stocks open higher investors remain hopeful new stimulus deal reached,1,0,1
259,tropical storm nana moving quickly toward central america enough time strengthen hurricane making landfall,1,1,0
260,russian opposition leader alexey navalny poisoned type nerve agent used 2018 attack exspy uk germany says,1,1,1
261,department homeland security july withheld intelligence bulletin warning russian plot spread misinformation regarding joe bidens mental health according report abc news,1,1,2
262,covid19 cases us children increased 17 two weeks updated report says,1,0,2
263,khmer rouge commander oversaw deaths thousands people cambodian genocide serving life sentence crimes humanity died age 77,1,1,2
264,massachusetts sen ed markey fended challenge decadeslong political career beating rep joe kennedy senate democratic primary,1,1,1
265,massachusetts rep richard neal one congress powerful democrats beaten progressive challenger alex morse house primary,1,1,0
266,two coaches previously charged college admissions scam charged counts third indictment filed district massachusetts,1,1,0
267,university california system longer use act sat tests determinant admissions superior court judge ruled handing victory students disabilities,1,1,2
268,extraordinary move centers disease control prevention moving temporarily halt evictions americans struggling pay rent due pandemic,1,0,2
269,us army announced new investigation leadership decisions fort hood related death specialist vanessa guillen,1,1,0
270,trump wins round request block new york subpoena financial records court delays final ruling closer election,1,1,2
271,president trump uses inflammatory language discuss demonstrations attacks press way kenosha,1,0,2
272,new york city delays opening date inperson learning 10 days sept 21,1,0,1
273,international air transport association endorses testing passengers covid19 airports way help restore global travel follow live updates coronavirus,1,0,1
274,outrage growing use tranquilizer cases socalled excited delirium two men county injected,1,1,1
275,man fatally shot saturday night downtown portland identified 39yearold aaron j danielson,1,0,2
276,house committee plans subpoena postmaster general dejoy failing hand documents changes caused widespread mail delays,1,1,2
277,federal appeals court rules michael flynn justice department request quickly shut flynns criminal case,1,1,1
278,former indian president pranab mukherjee died age 84 completed part term prime minister narendra modi stepping 2017,1,1,0
279,typhoon maysak forecast strengthen moves toward japan korean peninsula system dangerously close okinawa early tuesday causing significant air travel disruptions,1,1,0
280,193 passengers crew aug 25 flight greece wales ordered selfquarantine least seven board test positive covid19 follow live updates,1,0,1
281,rwandan authorities say paul rusesabagina saved hundreds people genocide whose story told film hotel rwanda arrested terrorrelated offenses,1,1,1
282,wisconsin lt gov mandela barnes says president trump cancel trip kenosha week stating presence would helpful protests continue police shooting jacob blake,1,1,2
283,president donald trump travel kenosha wisconsin tuesday meet law enforcement survey damage recent protests police shooting jacob blake white house says,1,1,2
284,1000 students university alabama tested positive covid19 since classes resumed tuscaloosa campus less two weeks ago,1,1,2
285,cliff robinson nba allstar played portland trail blazers phoenix suns died age 53,1,1,1
286,office director national intelligence informs congressional committees itll longer brief election security issues senior administration official says,1,1,2
287,berlin police ordered halt demonstration protesting german governments covid19 response citing crowds failure abide social distancing guidelines,1,1,1
288,longtime author columnist speaker julia reed died battle cancer 59,1,1,2
289,black panther actor chadwick boseman died 43 fouryear battle colon cancer,1,1,2
290,blake gray bryce hall two tiktok stars charged misdemeanors holding two large house parties defiance local health orders los angeles city attorney says,1,1,2
291,25yearold nevada man appears first documented case covid19 reinfection united states researchers say,1,1,2
292,major league soccer resume play friday postponing five matches earlier week recognition struggle racial equality human rights league says,1,0,1
293,1yearold boy died covid19 georgia state health department says youngest reported victim state,1,0,2
294,chairman joint chiefs staff gen mark milley told members congress military play role novembers election wont help settle disputes results contested,1,1,2
295,felony warrants jacob blake vacated longer restrained hospital bed lawyer says,1,1,2
296,president donald trump granted alice marie johnson pardon commuting prison sentence two years ago,1,1,2
297,nba games resume saturday agreement establish social justice coalition league players say joint statement,1,0,1
298,member defense secretary mark espers travel team tests positive covid19 espers trip indopacific region,1,1,0
299,extradition hearing kenosha wisconsin shooting suspect kyle rittenhouse pushed back sept 25,1,0,2
300,watch live families jacob blake george floyd breonna taylor speak joined crowd thousands anniversary march washington,1,0,1
301,700000 people louisiana texas remain without electricity hurricane laura 8 million still flash flood watch heavy rain isolated tornadoes forecast,1,1,0
302,cocacola cut thousands jobs reduce number business units faces declining beverage sales pandemic,1,1,2
303,jacob blakes father jacob blake sr tells cnn hourlong phone call former vice president joe biden sen kamala harris,1,0,2
304,one new zealands spy agencies helping investigate cyberattack disrupted countrys financial markets past four days,1,1,0
305,shinzo abe japans longestserving prime minister planning resign due health issues countrys public broadcaster reports,1,1,0
306,cdc issues health advisory risks carbon monoxide poisoning people without power turn gas generators grilling hurricane lauras aftermath,1,1,0
307,new forecast published cdc projects 200000 coronavirus deaths us september 19,1,0,1
308,first time since coronavirus pandemic hit cuba havana residents subjected nightly curfew allowed travel provinces country,1,0,0
309,peach recall expanded include loose peaches peach products possible salmonella poisoning cdc says dozen companies recalled including aldi target walmart,1,1,0
310,new york mets miami marlins left field game set begin seventh mlb game postponed today,1,0,2
311,president break tradition give pitch second term front packed white house crowd follow live updates final night rnc,1,0,2
312,white house reached family jacob blake directly contact trumps chief staff says also confirmed president watched video blake’s shooting,1,0,1
313,white house expecting 1000 1500 people attend trumps acceptance speech final night rnc,1,0,2
314,least six people died louisiana result hurricane laura,1,0,0
315,jacob blake shot seven times back police officer handcuffed hospital bed uncle says,1,0,2
316,german health authorities expect one vaccines coronavirus ready early 2021 german center disease prevention says,1,0,0
317,north carolina state university telling majority students live campus move september 6 due chancellor says rapid spread coronavirus cases,1,0,2
318,french health authorities reported 6111 new covid19 cases past 24 hours highest since march 31 height pandemic,1,0,2
319,nba postponed todays three scheduled playoff games meeting later afternoon discuss next steps,1,0,2
320,wnba postponed tonights three scheduled games second straight night players chosen play,1,0,2
321,laura tropical storm,1,0,0
322,nba players decided resume playoffs according reports refusing play following police shooting jacob blake,1,1,2
323,mark david chapman shot killed john lennon 1980 denied parole 11th time,1,1,2
324,three deaths reported louisiana result hurricane laura,1,0,0
325,lord taylor first department store established us officially going business ending nearly 200year run,1,1,2
326,hurricane laura category 1 storm according national hurricane center,1,0,0
